"year";"games_released";"total_sales"
1977;11;2.5
1978;45;2.36
1979;8;0.31
1980;35;2.26
1981;50;7.73
1982;214;28.990002
1983;298;22.679998
1984;102;4.85
1985;101;2.19
1986;159;10.349999
1987;270;5.59
1988;294;8.73
1989;426;9.120001
1990;657;9.07
1991;779;6.0499997
1992;933;9.38
1993;1034;20.16
1994;1163;36.850002
1995;1153;52.98001
1996;1228;101.36
1997;1040;105.89
1998;1096;132.22998
1999;1272;169.60988
2000;1552;171.12004
2001;1478;226.75
2002;1726;314.4999
2003;1723;300.8898
2004;1606;284.67926
2005;1810;313.4792
2006;2096;244.42004
2007;2525;436.39005
2008;2936;538.11523
2009;4360;495.36008
2010;3586;454.01953
2011;3386;440.31885
2012;1584;285.47025
2013;1740;265.99982
2014;2896;292.11063
2015;1680;230.44977
2016;1352;208.01993
2017;1558;191.95973
2018;1538;148.02971
2019;1290;2.5499995
2020;1452;3.45
