"publisher";"games_published";"total_sales";"avg_sales_per_game"
Activision;1044;722.77;0.69
Electronic Arts;843;644.13;0.76
EA Sports;540;485.66;0.90
Ubisoft;1012;462.57;0.46
THQ;726;320.89;0.44
Sony Computer Entertainment;568;311.08;0.55
Rockstar Games;93;239.67;2.58
Konami;769;210.70;0.27
Sega;641;206.38;0.32
Nintendo;384;140.80;0.37
Capcom;437;131.24;0.30
LucasArts;138;118.48;0.86
Bethesda Softworks;113;111.08;0.98
Warner Bros. Interactive Entertainment;166;103.51;0.62
Disney Interactive Studios;199;103.30;0.52
Atari;335;101.63;0.30
"2K Sports";183;101.04;0.55
Square Enix;209;95.74;0.46
Namco;175;91.03;0.52
Midway Games;255;87.57;0.34
