"title";"critic_score";"total_sales"
Grand Theft Auto V;9.4;20.32
Grand Theft Auto V;9.7;19.39
Grand Theft Auto: Vice City;9.6;16.15
Call of Duty: Black Ops 3;8.1;15.09
Call of Duty: Modern Warfare 3;8.7;14.82
Call of Duty: Black Ops;8.8;14.74
Red Dead Redemption 2;9.8;13.94
Call of Duty: Black Ops II;8.4;13.86
Call of Duty: Black Ops II;8.0;13.8
Call of Duty: Modern Warfare 2;9.5;13.53
Call of Duty: WWII;8.1;13.4
Call of Duty: Modern Warfare 3;8.8;13.35
Grand Theft Auto III;9.5;13.1
Call of Duty: Black Ops;8.7;12.67
FIFA 18;8.3;11.8
Grand Theft Auto IV;10.0;11.09
FIFA 17;8.9;10.94
Call of Duty: Modern Warfare 2;9.5;10.61
Grand Theft Auto IV;10.0;10.57
Call of Duty: Ghosts;6.9;10.41
Call of Duty: Ghosts;7.5;10.13
Halo: Reach;9.3;9.97
Call of Duty 4: Modern Warfare;9.6;9.41
The Elder Scrolls V: Skyrim;9.3;8.88
Grand Theft Auto V;9.0;8.72
Call of Duty: Infinite Warfare;7.9;8.48
Fallout 4;8.6;8.48
FIFA 16;8.5;8.22
Star Wars Battlefront (2015);7.1;8.03
The Sims 3;8.5;7.96
Grand Theft Auto: Liberty City Stories;8.8;7.72
Call of Duty: Advanced Warfare;8.5;7.53
Call of Duty: World at War;8.5;7.5
Battlefield 3;8.5;7.35
Battlefield 1;9.1;7.26
Battlefield 3;8.5;7.21
Need for Speed Underground;8.6;7.2
Need for Speed Underground 2;8.3;6.9
Medal of Honor: Frontline;9.0;6.83
Uncharted 2: Among Thieves;9.5;6.74
Call of Duty 4: Modern Warfare;9.5;6.72
FIFA Soccer 12;9.2;6.65
Red Dead Redemption;9.5;6.57
Red Dead Redemption;9.5;6.5
Assassin's Creed III;8.8;6.5
The Elder Scrolls V: Skyrim;9.0;6.49
Minecraft;9.4;6.33
FIFA 15;8.1;6.32
Driver;8.5;6.27
Tekken 2;9.1;5.74
LEGO Star Wars: The Complete Saga;8.0;5.66
Cooking Mama;6.6;5.66
Assassin's Creed II;9.0;5.57
Assassin's Creed;8.2;5.55
Batman: Arkham City;9.6;5.54
Forza Motorsport 3;9.2;5.5
Call of Duty: World at War;8.4;5.43
Crash Bandicoot: The Wrath of Cortex;6.9;5.42
Final Fantasy XIII;8.0;5.35
Assassin's Creed II;9.1;5.3
Tomb Raider II;7.6;5.24
Madden NFL 2004;9.5;5.23
Call of Duty: Advanced Warfare;8.3;5.22
Medal of Honor: Rising Sun;5.9;5.13
Battlefield 1;9.3;5.13
Microsoft Flight Simulator;7.0;5.12
Guitar Hero II;9.2;5.12
